"subject","condition","band","n_pairs","mean_spearman","min_spearman","max_spearman","mean_p"
"machine-10-1","diff","alpha","3","0.013813","-0.15409","0.1225","0.063137"
"machine-10-1","diff","beta","3","0.06371","-0.13674","0.25389","0.056667"
"machine-10-1","diff","delta","3","-0.019353","-0.21581","0.10368","0.118203"
"machine-10-1","diff","gamma","3","-0.102537","-0.1737","0.0161","0.255203"
"machine-10-1","diff","theta","3","-0.042393","-0.19307","0.11965","0.110543"
"machine-10-1","label0","alpha","3","0.028077","-0.09097","0.12519","0.14835"
"machine-10-1","label0","beta","3","0.02194","-0.05514","0.09924","0.34552"
"machine-10-1","label0","delta","3","-0.08696","-0.10426","-0.06781","0.11281"
"machine-10-1","label0","gamma","3","-0.059657","-0.19435","0.14825","0.005487"
"machine-10-1","label0","theta","3","0.042063","-1E-05","0.08113","0.505657"
"machine-10-1","label1","alpha","3","0.154093","0.02189","0.38448","0.322617"
"machine-10-1","label1","beta","3","-0.043553","-0.06716","-0.02596","0.434353"
"machine-10-1","label1","delta","3","-0.064583","-0.15866","0.00664","0.443913"
"machine-10-1","label1","gamma","3","0.012243","-0.0361","0.0636","0.527843"
"machine-10-1","label1","theta","3","-0.027207","-0.11734","0.12734","0.04114"
"machine-10-2","diff","alpha","3","-0.030863","-0.12776","0.04253","0.441597"
"machine-10-2","diff","beta","3","0.160593","0.01584","0.27929","0.254843"
"machine-10-2","diff","delta","3","-0.1596","-0.33861","0.11603","0.009163"
"machine-10-2","diff","gamma","3","-0.003223","-0.22111","0.1584","0.105827"
"machine-10-2","diff","theta","3","-0.046867","-0.28416","0.08483","0.124443"
"machine-10-2","label0","alpha","3","0.01247","-0.09341","0.12399","0.330613"
"machine-10-2","label0","beta","3","-0.204997","-0.28804","-0.12684","0.00534"
"machine-10-2","label0","delta","3","0.27566","0.13957","0.43283","0.002637"
"machine-10-2","label0","gamma","3","-0.00469","-0.08213","0.08875","0.302243"
"machine-10-2","label0","theta","3","0.219493","-0.00497","0.33439","0.308327"
"machine-10-2","label1","alpha","3","0.154023","0.02891","0.25088","0.194833"
"machine-10-2","label1","beta","3","-0.167613","-0.23487","-0.07681","0.0485"
"machine-10-2","label1","delta","3","0.09712","0.00065","0.15615","0.334513"
"machine-10-2","label1","gamma","3","-0.002873","-0.08908","0.11318","0.219347"
"machine-10-2","label1","theta","3","0.007627","-0.20077","0.23119","0.295537"
"machine-10-3","diff","alpha","3","-0.030073","-0.29282","0.29831","0.023103"
"machine-10-3","diff","beta","3","0.17022","0.01185","0.25944","0.274147"
"machine-10-3","diff","delta","3","-0.24629","-0.33171","-0.15606","0.000983"
"machine-10-3","diff","gamma","3","-0.087057","-0.22762","0.07103","0.075057"
"machine-10-3","diff","theta","3","-0.11433","-0.33273","0.02193","0.40667"
"machine-10-3","label0","alpha","3","0.132697","0.02648","0.19826","0.2057"
"machine-10-3","label0","beta","3","-0.265977","-0.34321","-0.20622","2.7E-05"
"machine-10-3","label0","delta","3","0.313163","0.09823","0.52989","0.02075"
"machine-10-3","label0","gamma","3","0.047323","-0.0746","0.21396","0.37262"
"machine-10-3","label0","theta","3","0.199727","-0.06701","0.34572","0.068013"
"machine-10-3","label1","alpha","3","0.09004","-0.22822","0.30213","6.3E-05"
"machine-10-3","label1","beta","3","-0.131057","-0.19265","-0.01831","0.24319"
"machine-10-3","label1","delta","3","0.050013","-0.04182","0.17502","0.392967"
"machine-10-3","label1","gamma","3","0.040803","-0.06433","0.18664","0.407177"
"machine-10-3","label1","theta","3","-0.06261","-0.27298","0.20034","0.009593"
"machine-10-4","diff","alpha","3","-0.078223","-0.32275","0.20841","0.007427"
"machine-10-4","diff","beta","3","0.089613","-0.20987","0.32351","0.001057"
"machine-10-4","diff","delta","3","-0.28185","-0.308","-0.2505","0"
"machine-10-4","diff","gamma","3","-0.131333","-0.26973","0.00839","0.295137"
"machine-10-4","diff","theta","3","-0.089453","-0.33515","0.08805","0.260687"
"machine-10-4","label0","alpha","3","0.149077","0.05919","0.26369","0.09336"
"machine-10-4","label0","beta","3","-0.252437","-0.39762","-0.12534","0.005733"
"machine-10-4","label0","delta","3","0.246087","0.08486","0.49104","0.036477"
"machine-10-4","label0","gamma","3","0.074907","-0.07333","0.25468","0.19193"
"machine-10-4","label0","theta","3","0.229243","-0.0503","0.42745","0.113517"
"machine-10-4","label1","alpha","3","0.122373","-0.22957","0.31677","3E-06"
"machine-10-4","label1","beta","3","-0.171457","-0.26487","-0.03798","0.157323"
"machine-10-4","label1","delta","3","0.075723","0.0038","0.14581","0.363183"
"machine-10-4","label1","gamma","3","0.06825","-0.00655","0.11275","0.33166"
"machine-10-4","label1","theta","3","-0.032127","-0.17297","0.17011","0.026033"
