pair,subject,condition,band,spearman_r,spearman_p,pearson_r,pearson_p,n
12,machine-10-1,label0,delta,-0.08881,0.09203,-0.03756,0.47686,361
12,machine-10-1,label0,theta,-1e-05,0.9999,-0.006,0.90962,361
12,machine-10-1,label0,alpha,-0.09097,0.08433,-0.1421,0.00685,361
12,machine-10-1,label0,beta,-0.05514,0.29613,-0.01627,0.75802,361
12,machine-10-1,label0,gamma,-0.13287,0.0115,-0.12564,0.01693,361
12,machine-10-1,label1,delta,-0.15866,0.0025,-0.10536,0.04544,361
12,machine-10-1,label1,theta,-0.09162,0.08215,-0.12889,0.01426,361
12,machine-10-1,label1,alpha,0.02189,0.67845,0.0417,0.42954,361
12,machine-10-1,label1,beta,-0.03754,0.47707,0.01893,0.72005,361
12,machine-10-1,label1,gamma,0.00923,0.86129,0.03294,0.53277,361
12,machine-10-1,diff,delta,-0.21581,4e-05,-0.29663,0.0,361
12,machine-10-1,diff,theta,-0.19307,0.00022,-0.16198,0.00202,361
12,machine-10-1,diff,alpha,-0.15409,0.00333,-0.14014,0.00766,361
12,machine-10-1,diff,beta,0.25389,0.0,0.27634,0.0,361
12,machine-10-1,diff,gamma,0.0161,0.76041,0.03405,0.51896,361
12,machine-10-2,label0,delta,0.43283,0.0,0.4754,0.0,361
12,machine-10-2,label0,theta,0.32906,0.0,0.32169,0.0,361
12,machine-10-2,label0,alpha,-0.09341,0.07631,-0.07632,0.14786,361
12,machine-10-2,label0,beta,-0.28804,0.0,-0.28654,0.0,361
12,machine-10-2,label0,gamma,-0.08213,0.11931,-0.08627,0.10174,361
12,machine-10-2,label1,delta,0.00065,0.99012,0.05599,0.28869,361
12,machine-10-2,label1,theta,-0.20077,0.00012,-0.2175,3e-05,361
12,machine-10-2,label1,alpha,0.02891,0.584,0.04732,0.36997,361
12,machine-10-2,label1,beta,-0.07681,0.14523,-0.02552,0.6289,361
12,machine-10-2,label1,gamma,-0.03272,0.53544,-0.01867,0.72373,361
12,machine-10-2,diff,delta,-0.33861,0.0,-0.27888,0.0,361
12,machine-10-2,diff,theta,-0.28416,0.0,-0.30551,0.0,361
12,machine-10-2,diff,alpha,-0.12776,0.01514,-0.04415,0.40301,361
12,machine-10-2,diff,beta,0.27929,0.0,0.33711,0.0,361
12,machine-10-2,diff,gamma,0.05304,0.31492,0.10472,0.04678,361
12,machine-10-3,label0,delta,0.52989,0.0,0.56775,0.0,361
12,machine-10-3,label0,theta,0.34572,0.0,0.34367,0.0,361
12,machine-10-3,label0,alpha,0.17335,0.00094,0.16647,0.0015,361
12,machine-10-3,label0,beta,-0.34321,0.0,-0.35756,0.0,361
12,machine-10-3,label0,gamma,-0.0746,0.15723,-0.06126,0.24564,361
12,machine-10-3,label1,delta,-0.04182,0.42829,0.01626,0.75821,361
12,machine-10-3,label1,theta,-0.27298,0.0,-0.21515,4e-05,361
12,machine-10-3,label1,alpha,-0.22822,1e-05,-0.2065,8e-05,361
12,machine-10-3,label1,beta,-0.01831,0.72884,-0.0089,0.86612,361
12,machine-10-3,label1,gamma,0.18664,0.00036,0.17488,0.00085,361
12,machine-10-3,diff,delta,-0.2511,0.0,-0.28141,0.0,361
12,machine-10-3,diff,theta,-0.33273,0.0,-0.33193,0.0,361
12,machine-10-3,diff,alpha,-0.29282,0.0,-0.20866,6e-05,361
12,machine-10-3,diff,beta,0.25944,0.0,0.36118,0.0,361
12,machine-10-3,diff,gamma,0.07103,0.17809,0.07762,0.14104,361
12,machine-10-4,label0,delta,0.49104,0.0,0.54798,0.0,361
12,machine-10-4,label0,theta,0.42745,0.0,0.42955,0.0,361
12,machine-10-4,label0,alpha,0.12435,0.0181,0.12183,0.02059,361
12,machine-10-4,label0,beta,-0.39762,0.0,-0.36695,0.0,361
12,machine-10-4,label0,gamma,-0.07333,0.16445,-0.03414,0.51786,361
12,machine-10-4,label1,delta,0.0038,0.94269,0.13024,0.01327,361
12,machine-10-4,label1,theta,-0.17297,0.00097,-0.14747,0.00499,361
12,machine-10-4,label1,alpha,-0.22957,1e-05,-0.20417,9e-05,361
12,machine-10-4,label1,beta,-0.26487,0.0,-0.19588,0.00018,361
12,machine-10-4,label1,gamma,0.11275,0.03221,0.12371,0.01871,361
12,machine-10-4,diff,delta,-0.308,0.0,-0.29975,0.0,361
12,machine-10-4,diff,theta,-0.33515,0.0,-0.39976,0.0,361
12,machine-10-4,diff,alpha,-0.32275,0.0,-0.2569,0.0,361
12,machine-10-4,diff,beta,0.1552,0.00311,0.19854,0.00015,361
12,machine-10-4,diff,gamma,0.00839,0.87377,0.02088,0.6925,361
12,machine-11-1,label0,delta,0.37763,0.0,0.38959,0.0,361
12,machine-11-1,label0,theta,0.08669,0.10006,0.106,0.04415,361
12,machine-11-1,label0,alpha,-0.10236,0.05199,-0.12126,0.0212,361
12,machine-11-1,label0,beta,0.01733,0.74282,0.02315,0.66112,361
12,machine-11-1,label0,gamma,-0.22108,2e-05,-0.23109,1e-05,361
12,machine-11-1,label1,delta,0.05074,0.33634,0.02383,0.65174,361
12,machine-11-1,label1,theta,-0.00089,0.98654,0.02917,0.58067,361
12,machine-11-1,label1,alpha,-0.04792,0.36397,-0.08205,0.11967,361
12,machine-11-1,label1,beta,0.0832,0.11455,0.08568,0.10412,361
12,machine-11-1,label1,gamma,-0.04046,0.44341,-0.02217,0.6746,361
12,machine-11-1,diff,delta,0.04341,0.41092,-0.11642,0.02698,361
12,machine-11-1,diff,theta,0.17565,0.0008,0.15884,0.00247,361
12,machine-11-1,diff,alpha,-0.03216,0.54251,-0.10586,0.04442,361
12,machine-11-1,diff,beta,0.14384,0.00619,0.13945,0.00797,361
12,machine-11-1,diff,gamma,0.06914,0.18996,0.13316,0.01132,361
12,machine-11-2,label0,delta,0.52748,0.0,0.50876,0.0,361
12,machine-11-2,label0,theta,0.28325,0.0,0.49204,0.0,361
12,machine-11-2,label0,alpha,-0.27393,0.0,-0.29694,0.0,361
12,machine-11-2,label0,beta,0.16181,0.00204,0.11727,0.02587,361
12,machine-11-2,label0,gamma,-0.17406,0.0009,-0.1892,0.0003,361
12,machine-11-2,label1,delta,0.21332,4e-05,0.26296,0.0,361
