Session,mean AUPRC,mean MCC,pair12 AUPRC,pair13 AUPRC,pair23 AUPRC,pair12 pos_rate,pair13 pos_rate,pair23 pos_rate
machine-1-1,0.0345,-0.0248,0.0389,0.0302,NaN,0.0476,0.0476,0.0714
machine-1-2,0.0000,0.0000,0.0000,0.0000,NaN,0.0584,0.0584,0.0584
machine-1-3,0.0807,-0.0251,0.0727,0.0647,0.1047,0.0295,0.0295,0.0369
machine-1-4,0.0617,0.0057,0.0456,0.0540,0.0855,0.0371,0.0371,0.0371
machine-2-1,0.3350,0.1494,0.3161,0.3332,0.3556,0.2490,0.2490,0.2490
machine-2-2,0.5928,0.4404,0.6270,0.5888,0.5625,0.2476,0.2476,0.2476
machine-2-3,0.6094,0.4259,0.6517,0.5998,0.5768,0.2489,0.2489,0.2489
machine-2-4,0.7534,0.6121,0.7979,0.7550,0.7073,0.2490,0.2490,0.2490
machine-3-1,0.2301,0.0131,0.2368,0.2263,0.2273,0.1484,0.1484,0.1483
machine-3-2,0.6310,0.5124,0.6788,0.6549,0.5594,0.1719,0.1719,0.1557
machine-3-3,0.7708,0.7048,0.7491,0.7728,0.7905,0.1535,0.1535,0.1294
machine-3-4,0.9058,0.8358,0.8967,0.8803,0.9403,0.1867,0.1867,0.1787
machine-4-1,0.2230,0.0086,0.2339,0.1874,0.2476,0.2482,0.2482,0.2472
machine-4-2,0.5757,0.4493,0.4712,0.6713,0.5847,0.2446,0.2446,0.2446
machine-4-3,0.5959,0.4229,0.5608,0.6345,0.5923,0.2139,0.2139,0.2130
machine-4-4,0.6876,0.5258,0.6479,0.7314,0.6835,0.2304,0.2304,0.2295
machine-5-1,0.1798,0.0336,0.0953,0.0464,0.3975,0.0439,0.0439,0.1362
machine-5-2,0.6626,0.6754,0.6009,0.5829,0.8040,0.0441,0.0441,0.1873
machine-5-3,0.5290,0.5009,0.4477,0.5496,0.5896,0.0475,0.0475,0.1660
machine-5-4,0.8051,0.8141,0.7659,0.7915,0.8578,0.0444,0.0444,0.1615
machine-6-1,0.4153,0.2887,0.4101,0.4227,0.4132,0.2355,0.2355,0.2287
machine-6-2,0.6280,0.4704,0.5793,0.6027,0.7019,0.2358,0.2358,0.2290
machine-6-3,0.8055,0.6763,0.7980,0.7977,0.8207,0.2331,0.2331,0.2263
machine-6-4,0.7552,0.6082,0.7362,0.7069,0.8226,0.2451,0.2451,0.2451
machine-7-1,0.2617,0.0251,0.2521,0.2587,0.2745,0.2720,0.2720,0.2720
machine-7-2,0.6540,0.4727,0.6498,0.6435,0.6687,0.2609,0.2609,0.2609
machine-7-3,0.8211,0.6620,0.8280,0.8055,0.8298,0.2622,0.2622,0.2622
machine-7-4,0.7701,0.6036,0.7466,0.7739,0.7899,0.2645,0.2645,0.2645
machine-8-1,0.1329,0.0227,0.0903,0.1741,0.1345,0.2177,0.2177,0.2247
machine-8-2,0.6224,0.5348,0.5670,0.6378,0.6624,0.1802,0.1802,0.1972
machine-8-3,0.7616,0.6543,0.7570,0.7788,0.7491,0.1773,0.1773,0.2041
machine-8-4,0.8186,0.7478,0.7973,0.8457,0.8129,0.1696,0.1696,0.1832
machine-9-1,0.2097,0.0089,0.1713,0.1346,0.3231,0.0413,0.0413,0.1072
machine-9-2,0.8079,0.7553,0.8012,0.8165,0.8058,0.0801,0.0801,0.1370
machine-9-3,0.7310,0.6642,0.7033,0.7524,0.7374,0.0791,0.0791,0.1435
machine-9-4,0.5911,0.5878,0.6417,0.4007,0.7310,0.0875,0.0875,0.1440
machine-10-1,0.3369,0.1414,0.3688,0.2994,0.3423,0.2749,0.2749,0.2749
machine-10-2,0.7264,0.5545,0.7667,0.7105,0.7021,0.2782,0.2782,0.2782
machine-10-3,0.8443,0.7050,0.8233,0.8536,0.8561,0.2772,0.2772,0.2772
machine-10-4,0.8587,0.7388,0.8756,0.8564,0.8441,0.2528,0.2528,0.2528
machine-11-1,0.4269,0.1621,0.3942,0.4796,0.4068,0.2220,0.2220,0.2822
machine-11-2,0.4714,0.3453,0.3929,0.4573,0.5639,0.2976,0.2976,0.2815
machine-11-3,0.4530,0.3238,0.3891,0.4729,0.4968,0.2289,0.2289,0.3038
machine-11-4,0.5681,0.3895,0.5285,0.5881,0.5877,0.2286,0.2286,0.2880
